id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
1,What is?,confusion,0.64,confusion,0.5226439833641052,
2,"Landon, honey. There is nothing more.",love,0.45,love,0.12445788830518723,
3,I swear to you that is all that happened.  I have not so much as set foot in your bedroom.,embarrassment,0.64,sadness,0.08017710596323013,
4,That is not a burn.,neutral,0.77,neutral,0.1755785346031189,
5,I do not and I do not think you should...,disapproval,0.78,disapproval,0.3236362338066101,
6,Oh.,embarrassment,0.67,embarrassment,0.06626676023006439,
7,Will you calm down.  Duquettes going to come to you just like he did to me. You are going to have to be ready for him.,annoyance,0.77,remorse,0.08554039150476456,
8,Starla Covington. Do not be ignorant. Everyone knows that. Fucking prom queen.,anger,0.81,anger,0.10305219888687134,
9,Sh!,annoyance,0.66,nervousness,0.08862520009279251,
10,"Well, put er there, Billy boy, my names McMurphy.",curiosity,0.51,caring,0.059661947190761566,
11,"He is dead, Lara.",grief,0.59,grief,0.1521402895450592,
12,Always keep them laughing.,neutral,0.89,amusement,0.4798705279827118,
13,... You are very perceptive.,neutral,0.84,caring,0.22615587711334229,
14,"You pathetic piece of shit. I can say whatever the fuck I want and you will not have a clue, you fucking retard.",anger,0.98,disappointment,0.24236492812633514,
15,Get in bed.,neutral,0.68,disapproval,0.08329616487026215,
16,Cmon.,neutral,0.78,realization,0.0657929927110672,
17,I cannot afford to get caught.,nervousness,0.79,embarrassment,0.09670411795377731,
18,"That is funny, Adele.  How many more times you going to give me that one?",curiosity,0.85,amusement,0.5340753197669983,
19,"Please, Sam, we are going to have to be open to each other on this one. If you make a reputation with this case, it will be at my expense.",annoyance,0.84,desire,0.08032874763011932,
20,"But, Lily",neutral,0.97,curiosity,0.06888949126005173,
21,I think she would cheer.,optimism,0.56,optimism,0.18371888995170593,
22,"He is dead! Eddie, he is dead! It was his heart.",grief,0.82,grief,0.19095945358276367,
23,"He is the hero of fifty thousand boys and a hundred thousand parents. Look at these congratulations pouring in! I tell you, gentlemen, by this one statesmanlike act, I have",admiration,0.49,admiration,0.1746983677148819,
24,"As I suspected, you are a rank sentimentalist.",neutral,0.77,caring,0.22357480227947235,
25,You son of a bitch!!,anger,0.91,anger,0.2636159062385559,
26,"Not in your condition.  Make it tepid, Gaston... tepid and tender. And lay out his gray suit.  Afterwards I will drive you through the Bois. Slowly... in Waltz time.",annoyance,0.72,nervousness,0.07137502729892731,
27,I will do my best.,optimism,0.85,optimism,0.13514921069145203,
28,"Linda... Hey, Linda...",excitement,0.32,excitement,0.08719716221094131,
29,Do you love me?,neutral,0.98,love,0.19171451032161713,
30,Benjamin,neutral,0.99,caring,0.05929325148463249,
31,"See the thing is I could make it really easy on you  I already have your credit card number, your information, address and stuff. This is so awkward asking like this, I am sorry ",embarrassment,0.55,embarrassment,0.14365258812904358,
32,"It is starting to swell, is it painful?",nervousness,0.48,sadness,0.23759712278842926,
33,"Sixty three pounds consumed per capita, up from twenty seven in 1960.  Going to pass beef.  Chickens global.  No religious taboos.  You do not see your Hindus and your Muslims boycotting poultry.",neutral,0.89,desire,0.07955067604780197,
34,So you will dredge the bottom again. You have done that before. The results were... uneven.,neutral,0.75,disappointment,0.27841299772262573,
35,Just a minute.  I am shaking!  Take the gun.,nervousness,0.89,nervousness,0.34363022446632385,
36,"I said we should not come down here. Very treacherous  physical and metaphysical levels, both. Thereve been no refurbishments to this part of the house  it is exactly as it was in 1931.",disapproval,0.78,disapproval,0.07774940878152847,
37,Forget it. You cannot even set foot in the parking lot. That is how serious it is.,confusion,0.35,embarrassment,0.07132602483034134,
38,go!,excitement,0.47,excitement,0.3362109065055847,
39,It is a stretch but I will manage.,optimism,0.89,relief,0.08689264953136444,
40,Do not do this.,disapproval,0.91,disapproval,0.33914369344711304,
41,"Circus folk.  Nomads, you know. They smell like cabbage.",excitement,0.29,amusement,0.1162908673286438,
42,"It can louse up your insides. You can get puh, puh, puh...",disapproval,0.53,disgust,0.151349738240242,
43,"Oh no, my dear.  You look absolutely amazing.  There is no way I can compete with you.  The scene is yours.",admiration,0.91,admiration,0.12388596683740616,
44,You were paid to take me out!  By  the one person I truly hate.  I knew it was a setup!,anger,0.85,anger,0.24489691853523254,
45,My brother hung himself.,sadness,0.74,embarrassment,0.07206001877784729,
46,They are awful.  They make me cough.,disgust,0.95,disgust,0.19485007226467133,
47,Her blood is all over the bathroom. I would say that is a bit of a DNA problem.,confusion,0.89,embarrassment,0.07551577687263489,
48,The Prime Minister does not seem that naive.,neutral,0.88,surprise,0.11059017479419708,
49,Why not  if you like it  if that is what you really want.,approval,0.69,desire,0.40581923723220825,
50,Well  got to change that tire if were going to get home.,sadness,0.55,nervousness,0.08296050131320953,
51,Ignore it. We will be fine.  Prepare for first stage shutdown and separation on my mark...,optimism,0.71,relief,0.07539252191781998,
52,"What is so funny, cadet Cowan?",annoyance,0.88,amusement,0.37278470396995544,
53,Very interesting. I am learning a lot about manure.  What is that?,curiosity,0.91,curiosity,0.5984036326408386,
54,Okay.  That did not work.,disappointment,0.49,disappointment,0.366113543510437,
55,23   CONTINUED,neutral,0.98,approval,0.07152195274829865,
56,and thus unable to declare her love,neutral,0.96,love,0.1934843361377716,
57,It is a piece of the treasure of Isla de Muerta.,neutral,0.88,pride,0.13708320260047913,
58,I swear to you I would not have turned the offer down unless I thought that I could win the case...,remorse,0.85,remorse,0.10010773688554764,
59,How did you know our nannys name is...Lucky guess!,surprise,0.75,surprise,0.2191833108663559,
60,I will make you very proud.,pride,0.77,pride,0.3727467954158783,
61,At this point the worst thing I could do is anything out of the ordinary.,neutral,0.54,disgust,0.11883176118135452,
62,They stopped serving two hours ago.,neutral,0.88,disapproval,0.08324079215526581,
63,"No, Jabez  all I need is some rest  You go and pay our debt. Everythingll be all right then ... everything.",relief,0.48,relief,0.0923350602388382,
64,Let us just say I am freelancing and leave it at that.,nervousness,0.45,confusion,0.07977502793073654,
65,I am not afraid of his words.,neutral,0.57,neutral,0.09739699214696884,
66,All sorts of things.  You might even remember you loved me.,neutral,0.55,love,0.3253958225250244,
67,Oh Jesus.,surprise,0.50,grief,0.09601814299821854,
68,It is more fun hearin stories in the dark.,amusement,0.55,amusement,0.4336658716201782,
69,"Uh, thanks. God I am so excited! So, are you ready to take me to the principals office? He whips out the key, she takes it.",excitement,0.66,excitement,0.3651488721370697,
70,Shut up.,annoyance,0.55,annoyance,0.27766153216362,
71,"It is the leather bindings, I love the fragrance of vintage books.",joy,0.64,joy,0.10734905302524567,
72,"I got a surprise for you, blondie...",caring,0.62,surprise,0.34817609190940857,
73,"It is clear you are, and it irks me.",annoyance,0.86,annoyance,0.35592666268348694,
74,Do you know how much I love you?,love,0.85,love,0.22810770571231842,
75,"It is not that we are using unnamed sources that bothers me, or that everything we print the White House denies, or that almost no other papers are reprinting our stuff.",nervousness,0.74,annoyance,0.28365302085876465,
76,Figured it out.,realization,0.86,realization,0.6596659421920776,
77,"Stepped on a booby trap, sir  got blown all to hell ",sadness,0.56,embarrassment,0.17087964713573456,
78,It is better.  Even though the whole first season my teammates did not pass to me because they were mad The American was making more money.  I led the team in rebounds because it was the only way I could touch the damn ball.,annoyance,0.54,anger,0.08182258903980255,
79,"Tomorrow night, I get off at eight.",neutral,0.93,excitement,0.08539199084043503,
80,"It is a dream of beauty. He never takes my word for anything, but I was right, was not I?",curiosity,0.62,joy,0.13588450849056244,
81,He was a wealthy man?,curiosity,0.57,surprise,0.2735455334186554,
82,Mulet.,neutral,0.98,excitement,0.07239793241024017,
83,In love?,curiosity,0.58,love,0.17533454298973083,
84,Yes... and I only had enough silver halide for one shot. So you are lucky you did not screw it up.,relief,0.77,gratitude,0.07945555448532104,
85,She is but an arriviste.,disapproval,0.76,pride,0.06613665819168091,
86,"You going to get rough now, threaten me? I make good by tomorrow or get my legs broken?",nervousness,0.77,fear,0.14217595756053925,
87,"Away, begone the sport is at the best.",annoyance,0.58,relief,0.09618912637233734,
88,No weapon.,neutral,0.93,disappointment,0.10340192914009094,
89,"I am sorry, I should have been watching where I...",remorse,0.85,remorse,0.4286017119884491,
90,I KNOW THE CONSEQUENCES!,realization,0.59,realization,0.5101186037063599,
91,"Yes, we call them that too.  Ahhh, here we are, Lovebirds...",caring,0.52,love,0.1658647358417511,
92,"She is real eat, drink and be merry girl.",excitement,0.48,optimism,0.11229236423969269,
93,A gust of wind killed him.,neutral,0.76,sadness,0.10922938585281372,
94,"If we are real lucky, it will eat itself....",optimism,0.69,disappointment,0.10201572626829147,
95,The sled as a shield....,neutral,0.94,pride,0.09754844009876251,
96,Oh.,confusion,0.51,embarrassment,0.06626670807600021,
97,Oh Jesus.,surprise,0.50,grief,0.09601814299821854,
98," there is the Harmattan, a red wind. Which Mariners called the sea of darkness.  Red sand from this wind has flown as far as the south coast of England, producing showers so dense they were mistaken for blood. Almasy checks to see if Katharine is still awake.",nervousness,0.49,approval,0.08536100387573242,
99,"I am going to bring this down hard. I have got an A1 badass killer loose, an election day after tomorrow, and I am risking everything on you. You are going to bring him in.  I do not care how.  If you do, you will get your freedom.  An official pardon from me.  A clean slate.  A good job.  A chance to get back with your family.  If you do not want to, I will put your ass back in the freezer so fast, you will forget you were ever defrosted.",nervousness,0.65,anger,0.0879506915807724,
100,"I mean, that is what worried me, because it turns out Nicky was about to be sent to Vegas.",nervousness,0.61,nervousness,0.34195294976234436,
101,"Madmartigan, you promised me you would take care of Elora Danan like your own daughter.  She is all that matters.  Are you going to abandon her?",disappointment,0.77,anger,0.09476994723081589,
102,"Yeah, heh heh.",joy,0.46,amusement,0.10281971096992493,
103,"This town is no place for any man unless he is willing to crawl to Potter. You have got talent, son. You get yourself an education. Then get out of here.",caring,0.78,disapproval,0.08339260518550873,
104,Bid her to come to confession this afternoon And there she shall at Father Laurence cell Be shrived and married.,caring,0.34,remorse,0.0912538468837738,
105,Do yourself a favor  Do not ask.,caring,0.48,gratitude,0.12208867073059082,
106,I like to think I am a master of my own destiny.,excitement,0.59,pride,0.18887732923030853,
107,Magic.,neutral,0.97,joy,0.15007100999355316,
108,But sir,confusion,0.71,confusion,0.07287776470184326,
109,"Do not mind him, Sheriff. Boys just a bit slow, is all. He do not mean nothing by it",neutral,0.52,neutral,0.10193851590156555,
110,I do not know what happened.,confusion,0.48,confusion,0.5557657480239868,
111,This knife is filthy.,disgust,0.63,disgust,0.3612251877784729,
112,I still maintain that he kicked himself in the balls.  I was merely a spectator.,annoyance,0.61,anger,0.08406934142112732,
113,"Terrible. After this, no more ballets for me. Jazz   Just jazz.",disappointment,0.48,disappointment,0.29132556915283203,
114,I am sorry. Really... I am.,remorse,0.88,remorse,0.4049557149410248,
115,"You are in pictures, Barton. Even if you got cleared eventually, this would ruin you.",sadness,0.66,embarrassment,0.19315177202224731,
116,Maybe they will catch up.,optimism,0.72,optimism,0.1411774754524231,
117,I think you are quite handsome.,love,0.56,admiration,0.25497621297836304,
118,DJ. The Clarks gone. Smith and Cooper are dead.,neutral,0.85,grief,0.12962310016155243,
119,"Of course, Commendatore...",approval,0.74,approval,0.1822996586561203,
120,It will work out.,optimism,0.91,optimism,0.2447870969772339,
121,Two days gone. They are negotiating a ransom.,neutral,0.53,nervousness,0.0763186663389206,
122,What kind of seats can we have?,curiosity,0.87,curiosity,0.5188596248626709,
123,"Okay. I just came in to get warm, myself. Come on, let us go.",nervousness,0.47,relief,0.10306653380393982,
124,"Southglen South competes every year for best prom, and usually they win. We Denominators do not even go to prom. But to everyone else it is huge.",neutral,0.86,excitement,0.08423031866550446,
125,William Taupin seems to have left his mark.,curiosity,0.56,curiosity,0.08568917959928513,
126,"Thanks, comrade.",gratitude,0.87,gratitude,0.42255550622940063,
127,Car accident.,neutral,0.97,embarrassment,0.14360758662223816,
128,"Cheer up, darling.",caring,0.84,optimism,0.15087231993675232,
129,And the only other remaining sample was in the canister you recover from Ambrose.,confusion,0.36,curiosity,0.07576629519462585,
130,Just give me some time to let Lila down easily. She is a really nice girl and I do not want to hurt her more than is necessary.,caring,0.62,desire,0.06887630373239517,
131,Dead bodies. The ones in the Lincoln are your... associates.,sadness,0.49,sadness,0.11023026704788208,
132,I want to be a teacher.,desire,0.78,desire,0.5057176947593689,
133,"Kellys file.  Read it.  You are going to find an angry, sexually confused girl who is made threats on her mothers life and a female lover she would never identify.",confusion,0.84,anger,0.24703802168369293,
134,"We saw, um, Pavarotti, eh, uh, in Ernani at the Met, and I cried...",admiration,0.78,sadness,0.25273674726486206,
135,I am so happy you are happy.,joy,0.91,joy,0.15633930265903473,
136,"It was fun, anyhow.",amusement,0.63,amusement,0.32363438606262207,
137,It is evitable.,optimism,0.72,optimism,0.13405437767505646,
138,Yeah.  Me too.,approval,0.84,approval,0.17976561188697815,
139,Thomas is dead but you have done nothing for which you should be ashamed.,caring,0.85,embarrassment,0.17741383612155914,
140,All right enough!  I am tired of thinking about all this!,annoyance,0.68,annoyance,0.2210247963666916,
141,"Kay, let us see...  Cheswick first ... then Billy... Martini... Scanlon... Sefelt... Fredrickson... Taber an the Chief... Kay",neutral,0.89,approval,0.0822085291147232,
142,Meow.,neutral,0.92,amusement,0.13178229331970215,
143,Come back tonight.,desire,0.73,desire,0.07934214919805527,
144,Wayne Gretzky.,neutral,0.95,anger,0.08411596715450287,
145,Have I told you how proud I am of you  ?,pride,0.93,pride,0.25256720185279846,
146,Well how did it happen?,curiosity,0.89,curiosity,0.48651769757270813,
147,It surprises me that I am not the only one on this balcony who feels that way.,surprise,0.85,surprise,0.46073758602142334,
148,Claymore.,neutral,0.92,amusement,0.07866296917200089,
149,"Well, I am home now, so you can go right to sleep.  Cmon, angel.",love,0.88,gratitude,0.08668152242898941,
150,I am sorry.,remorse,0.92,remorse,0.3875453770160675,
151,"It is when you love someone, and they do not love you. And then you do something about it.",confusion,0.64,love,0.12265313416719437,
152,Put your tiny little mind at ease.,annoyance,0.83,relief,0.25024741888046265,
153,Tommy...,neutral,0.91,excitement,0.06518977135419846,
154,Without me. I am afraid. I got the axe this morning.,fear,0.88,fear,0.42383143305778503,
155,Oh Jesus oh Jesus oh Jesus.,fear,0.64,grief,0.12546075880527496,
156,He was Russian.  Nicholai Tachlinkov.  A legend in the business when I was just starting. I admired him.  When I heard he loved chess I became obsessed with the game.,admiration,0.92,admiration,0.2310646027326584,
157,No time like the present.  The car will bring you.,optimism,0.73,optimism,0.13764286041259766,
158,O.K.  I find I am terribly afraid of losing you.,fear,0.91,fear,0.4569040834903717,
159,This is sweet!!,excitement,0.68,caring,0.23743075132369995,
160,Do you hear anything?,curiosity,0.87,curiosity,0.513652503490448,
161,It is hard to know where to start.,confusion,0.93,confusion,0.5482006669044495,
162,"I love you too, man.",love,0.89,love,0.19262470304965973,
163,You must really like him.,neutral,0.52,admiration,0.2916296422481537,
164,I do not mind him...but I do think it is time for him to get back down below with the rest of the playgroup.,desire,0.51,neutral,0.09555001556873322,
165,Give Me this god...,desire,0.87,gratitude,0.14063787460327148,
166,Clever fellow  almost missed me.,disappointment,0.62,surprise,0.09883816540241241,
167,Go in there and lick his attitude.,annoyance,0.46,pride,0.07768085598945618,
168,"All right, all right.  I am a little tense.",nervousness,0.89,nervousness,0.5905489325523376,
169,It was okay.,relief,0.57,relief,0.29685020446777344,
170,...Ya gave Dipper my locker.,neutral,0.51,remorse,0.08188603073358536,
171,It is designed purely as a defensive device.  Call it a reasonable precaution.,neutral,0.44,fear,0.08966846764087677,
172,Do not worry.,caring,0.64,relief,0.28275489807128906,
173,"Yeah, well, Bleek trusted me. We are best friends.",pride,0.43,gratitude,0.1317470669746399,
174,"Oh lean over here, lady. Lean this way.",caring,0.55,caring,0.07367759197950363,
175,Reach for the limit I always say.,neutral,0.51,curiosity,0.07246721535921097,
176,"Trust, responsibility, taking the weight, for your choices and feel ings and spending the rest of your life living up to them.  And above all, not hurting the object of your love.",love,0.42,love,0.22736097872257233,
177,"You are very handy, I can tell.  I bet you like to read a lot, too.",approval,0.64,admiration,0.16887983679771423,
178,"Finally came to your senses, huh?",approval,0.54,realization,0.3772309124469757,
179,They scare me too sometimes.,fear,0.78,fear,0.4032525420188904,
180,"You are one hell of a detective, Mrs. Christian.",approval,0.81,admiration,0.13105395436286926,
181,Kirk here.,neutral,0.87,approval,0.07616778463125229,
182,It is okay. Do not worry about it.,caring,0.86,relief,0.3501718044281006,
183,I was lucky in the order.  I always been lucky killin folks.,relief,0.77,relief,0.09116125106811523,
184,We were worried to death.  It is awfully kind of you.,gratitude,0.89,fear,0.17995639145374298,
185,Desmond.,neutral,0.92,pride,0.05688364803791046,
186,There are all sorts of men. You get to see some funny ones as a reporter.,amusement,0.51,amusement,0.2961868941783905,
187,"Yeah, Kim told me they were giving you their Dueling Scarlets act.  Actually, they are sophomores at Juilliard.",neutral,0.79,caring,0.0764322504401207,
188,This is not going to work.,disappointment,0.91,disappointment,0.3307013511657715,
189,I will notI will ask for one right now.  Sally tells me she is in love with you.,neutral,0.77,love,0.21810254454612732,
190,Only if I want something bad enough.,neutral,0.86,desire,0.4425230622291565,
191,"Monkey, this is too exciting! I cannot believe our dream is coming true.",excitement,0.94,excitement,0.4312427341938019,
192,"Well, then, you are a lucky girl, because that babys gone to be your family.  ...I have got an appointment....",joy,0.45,gratitude,0.12643150985240936,
193,It is a bug.,neutral,0.94,annoyance,0.22245866060256958,
194,I have never been to Earth. I have never even slept over at some other dudes house!,disappointment,0.76,surprise,0.12847787141799927,
195,You are a good fellow.,approval,0.82,approval,0.20403970777988434,
196,My baby daughter has died... my baby... mon petite Henriette...,grief,0.89,grief,0.19513042271137238,
197,Jos does not like the deal in South Florida...,neutral,0.88,disapproval,0.3322311341762543,
198,"I am very sorry, Jimmy.  I apologize to you.",remorse,0.93,remorse,0.43162691593170166,
199,I am trying to slash my wrists.,disappointment,0.53,anger,0.22589413821697235,
200,"It is okay with me, hi Kevin.",optimism,0.61,approval,0.22925281524658203,
201,"We won! Ice turns back, stares them down, then turns back into his locker, dismissing them.",joy,0.78,anger,0.09804538637399673,
202,Relieved?,curiosity,0.67,relief,0.4487060606479645,
203,It must have stopped moving.  I am not getting anything.,confusion,0.82,disappointment,0.2912364602088928,
204,I cannot betray my bride.,love,0.86,love,0.11564399302005768,
205,I was going nuts in that waiting room so I came back to check on my mom.,nervousness,0.84,nervousness,0.3604748845100403,
206,See you in the morning light...,excitement,0.77,optimism,0.10836111754179001,
207,"Okay. Then, tomorrow, I take the kids with me to the picket line.",approval,0.51,nervousness,0.08164981007575989,
208,"O, my dearest love.  Enough!  I beg you.  Stop believing in your experience.  You have never known love.  My very soul is leaving me! Catch it on your lips, and give me yours!",love,0.91,love,0.11966370791196823,
209,I am sorry.,remorse,0.84,remorse,0.3875453770160675,
210,"What it be Judge. Nobody got hurt, Sister Bettys safe. This was a good day...",relief,0.86,optimism,0.21529541909694672,
211,"... well, of course you can.  Mr. President, what a surprise.  What brings you here?",surprise,0.88,surprise,0.3185146749019623,
212,I should like to see my drawing.,desire,0.91,desire,0.39855799078941345,
213,I have always loved him.,love,0.73,admiration,0.1926722526550293,
214,Soon as I finish.,neutral,0.64,excitement,0.08433018624782562,
215,"Oh, Miles. That is awful. What are you going to do?",sadness,0.77,disgust,0.1392887383699417,
216,And you have been extremely patient.,neutral,0.89,caring,0.32030993700027466,
217,"I hid outside in the hall till the maid came to turn down your bed. She must have forgot something and when she went to get it, she left the door open. I sneaked in and hid till she finished. Then I just looked around  and pretty soon I was afraid somebodyd notice the lights were on so I turned them off  and then I guess, I fell asleep.",neutral,0.86,fear,0.14552953839302063,
218,"I know it, and it feels good.  Hi, Ty.",optimism,0.52,optimism,0.14781129360198975,
219,You mean to someone like Mr. Sheldrake.,neutral,0.77,confusion,0.081130750477314,
220,I never fucked Rod.,neutral,0.65,realization,0.06734584271907806,
221,"My lady, when one has lived with prophecy for so long, the moment of revelation is a shock.",neutral,0.89,surprise,0.5456653833389282,
222,No. I could not do that. I have something for you.,neutral,0.78,remorse,0.10211921483278275,
223,It is all going to work.  We are going to save the world.,optimism,0.87,optimism,0.1989666223526001,
224,She is gone...,sadness,0.82,grief,0.129806250333786,
225,I have missed you.,love,0.73,sadness,0.29625555872917175,
226,"My God, that was bold of you, you did not have to do that...",surprise,0.87,surprise,0.24557922780513763,
227,"Give Me a break, will you?  Shut up.",annoyance,0.88,annoyance,0.22982704639434814,
228,"I love you, Elaine.",love,0.95,love,0.24605178833007812,
229,Jest with me then.,neutral,0.67,amusement,0.40948566794395447,
230,Bens still out there,neutral,0.78,sadness,0.06964562088251114,
231,I saw the ad at Georges.  I Am passing through town and I Am in a hurry.,nervousness,0.51,excitement,0.30071568489074707,
232,Serafine...,neutral,0.79,curiosity,0.06432752311229706,
233,You were merciless.  You did not give a shit if you got me or not.,anger,0.68,anger,0.23115646839141846,
234,Maybe later.,neutral,0.86,remorse,0.06689146161079407,
235,"Thanks, but I have got plans.",gratitude,0.75,gratitude,0.43082740902900696,
236,"Oh, you must forgive me, General Bonaparte, I am afraid you will think me incredibly stupid but I know absolutely nothing about this. Eugene is so independent  he hardly tells me anything any more, and he has so many things in his room, I must confess I was not even aware that he had this sword  you know how boys can be!",remorse,0.83,fear,0.09340517967939377,
237,It is a piece of the treasure of Isla de Muerta.,neutral,0.88,pride,0.13708320260047913,
238,Give me the Valium.,neutral,0.84,gratitude,0.09800409525632858,
239,I was getting warmed up.,neutral,0.88,excitement,0.293497234582901,
240,"I bet you make your Daddy proud, do not you? Beautiful.",approval,0.89,pride,0.18370585143566132,
241,Golden Boy.,approval,0.21,pride,0.13445673882961273,
242,Your clothing reeks of it.,disgust,0.86,disgust,0.34943830966949463,
243,It is always the women that start the trouble.,annoyance,0.64,embarrassment,0.16787214577198029,
244,"Wrong!  I sympathize completely, because if you cannot win... then, if you do not ignore everything and everyone around you, you... you become like John Doe.  It is easier to beat a child than it is to raise it, because it takes so much work to love.  You just have to make sure you do not stop to think about the abuse, and the damage, because you will risk being sad.  Keep ignoring.",sadness,0.35,sadness,0.09088321030139923,
245,That is the spirit  fiftyfifty.,neutral,0.61,optimism,0.1312839835882187,
246,Because I am happy.,joy,0.87,joy,0.2649136185646057,
247,"Kind of feeling your oats this morning. I have not laid a hand on you for quite a while, but that does not mean you are too old.",caring,0.43,surprise,0.08305122703313828,
248,Want To go?,curiosity,0.77,desire,0.4022756814956665,
249,Only this far.,neutral,0.55,curiosity,0.06696516275405884,
250,Yes. You have made yourself quite clear.,gratitude,0.46,realization,0.42901626229286194,